Hardware,"HP Z420, Intel Xeon E5-1650 v2 @ 3.50 GHz, 32 GB RAM",,,,,,
OS,Windows 7 Enterprise SP1 64 bits,,,,,,
,,Milliseconds,,,Ops/sec,,
Test,Item,Chrome 37.0.2062.120,Firefox 32.0.3,IE 11.0.9600.17358,Chrome 37.0.2062.120,Firefox 32.0.3,IE 11.0.9600.17358
Load,Empty DB,"4,246.80",513.26,432.82,,,
,Populated,"2,551.20","1,874.39","2,717.56",,,
Full table SCUD,Delete 10K,"1,191.40","1,290.41","1,304.60","8,393.49","7,749.49","7,665.16"
,Delete 20K,"1,821.20","2,316.89","4,698.52","10,981.77","8,632.27","4,256.66"
,Delete 30K,"2,284.00","3,046.79","12,128.46","13,134.85","9,846.43","2,473.52"
,Delete 40K,"3,532.00","4,089.39","12,084.26","11,325.03","9,781.42","3,310.09"
,Delete 50K,"4,151.60","4,904.44","15,773.96","12,043.55","10,194.84","3,169.78"
,Insert 10K,"1,963.00","2,115.32","11,015.82","5,094.24","4,727.41",907.79
,Insert 20K,"3,735.80","3,940.91","23,842.99","5,353.61","5,074.97",838.82
,Insert 30K,"4,900.60","5,540.90","39,183.25","6,121.70","5,414.28",765.63
,Insert 40K,"7,074.80","7,211.24","54,792.21","5,653.87","5,546.90",730.03
,Insert 50K,"8,879.60","8,934.11","73,385.77","5,630.88","5,596.53",681.33
,Select 10K,24.60,24.53,18.69,"406,504.07","407,614.23","535,016.85"
,Select 20K,34.00,36.69,74.66,"588,235.29","545,077.95","267,884.65"
,Select 30K,53.20,48.08,53.36,"563,909.77","624,024.96","562,208.35"
,Select 40K,75.60,59.95,78.04,"529,100.53","667,233.82","512,544.53"
,Select 50K,116.40,63.14,91.15,"429,553.26","791,941.21","548,522.28"
,Update 10K,"1,829.60","3,629.95","14,426.67","5,465.68","2,754.86",693.16
,Update 20K,"3,455.40","6,845.25","26,927.77","5,788.04","2,921.74",742.73
,Update 30K,"4,928.40","9,870.62","41,699.28","6,087.17","3,039.32",719.44
,Update 40K,"5,923.80","13,247.42","60,564.84","6,752.42","3,019.46",660.45
,Update 50K,"7,426.40","16,825.54","72,213.91","6,732.74","2,971.67",692.39
PK Table Ops,Delete 10K,"1,869.40","2,792.25","2,300.35",,,
,Delete 1K,628.80,573.76,175.01,,,
,Delete 100,290.60,254.04,134.95,,,
,Delete 10,286.80,226.64,89.21,,,
,Delete 1,180.20,215.91,120.18,,,
,Insert 10K,"1,394.40","2,281.28","19,713.36",,,
,Insert 1K,267.40,439.27,"3,062.24",,,
,Insert 100,66.40,247.38,436.71,,,
,Insert 10,201.00,161.36,13.81,,,
,Insert 1,298.20,186.36,11.68,,,
,Select 10K,65.20,210.65,97.07,,,
,Select 1K,11.00,31.76,24.78,,,
,Select 100,3.80,14.74,2.37,,,
,Select 10,2.80,9.71,1.78,,,
,Select 1,4.00,8.04,1.30,,,
,Update 10K,"1,429.00","3,594.93","18,859.85",,,
,Update 1K,628.00,640.42,"3,358.76",,,
,Update 100,314.60,365.71,94.03,,,
,Update 10,305.20,244.58,105.65,,,
,Update 1,390.60,283.89,68.34,,,
Select,"Multi-row, indexed range",60.20,156.81,81.87,,,
,"Multi-row, indexed spaced out",77.80,66.95,129.77,,,
,"Multi-row, non-indexed range",53.20,42.29,97.11,,,
,"Multi-row, non-indexed spaced out",83.40,76.91,144.78,,,
,Orderby indexed,304.40,98.76,358.88,,,
,Orderby non-indexed,261.00,163.43,497.10,,,
,Project Aggregate indexed,76.20,94.45,119.86,,,
,Project Aggregate non-indexed,61.20,58.54,98.25,,,
,Project Non-aggregate,84.60,81.28,173.29,,,
,"Single row, indexed",4.40,4.92,1.97,,,
,"Single row, non-indexed",53.00,45.85,85.13,,,
